l1_category,revenue,cost,profit,qty,profit_margin,revenue_crore,profit_crore,qty_crore
Wound Care And Pain Relief,3562274.7569999998,3156147.319210999,406127.4377889999,40815.0,0.11400789256666534,0.35622747569999996,0.040612743778899986,0.0040815
Jams,6731202.9059999995,6344671.593439003,386531.31256100006,45675.0,0.05742380937832928,0.6731202906,0.0386531312561,0.0045675
Home Decor,812066.908,455576.147674,356490.760326,4306.0,0.4389918574615775,0.08120669080000001,0.0356490760326,0.0004306
Honey,9292596.975,8952956.013883,339640.9611170001,42428.0,0.03654962784146787,0.9292596974999999,0.03396409611170001,0.0042428
"Clothing, Footwear & Accessories",1087895.8420000002,759759.3117329999,328136.5302670001,3371.0,0.3016249512120114,0.10878958420000001,0.03281365302670001,0.0003371
Cookies & Wafers,1195515.454,875500.9360260002,320014.51797399996,4763.0,0.2676791143964585,0.11955154539999999,0.03200145179739999,0.0004763
Rice & Rice Products,4335078.731000001,4026272.8293570005,308805.901643,48453.0,0.07123420837428845,0.43350787310000005,0.030880590164300004,0.0048453
Breakfast & More,1253786.5610000002,949267.4444270005,304519.1165730001,4369.0,0.2428795506709854,0.1253786561,0.030451911657300008,0.0004369
Dishwashing Gels & Powder,25725191.993,25430582.94640401,294609.0465959999,154743.0,0.011452161238530894,2.5725191993000003,0.029460904659599992,0.0154743
Men's Grooming,9537315.685999997,9256462.845061002,280852.84093899996,54490.0,0.029447787006911082,0.9537315685999997,0.028085284093899997,0.005449
Herbal Drinks,1769680.3179999997,1489620.453003,280059.86499699997,10193.0,0.15825449497766297,0.17696803179999998,0.028005986499699997,0.0010193
Vegan Drinks,7159333.446999998,6886922.549908999,272410.8970909999,57261.0,0.0380497568813685,0.7159333446999998,0.027241089709099987,0.0057261
Cosmetics,2215550.4519999996,1953018.8312290001,262531.620771,17255.0,0.11849498644186146,0.22155504519999997,0.0262531620771,0.0017255
Tea & Coffee,3115289.6109999996,2862567.8439870006,252721.76701299995,12633.0,0.08112304105552387,0.31152896109999995,0.025272176701299994,0.0012633
Cooking Essentials,1230740.713,998629.1422250002,232111.57077499994,6196.0,0.18859502113098614,0.1230740713,0.023211157077499996,0.0006196
Candles,539211.905,311142.27761099994,228069.627389,3020.0,0.42296845687967516,0.0539211905,0.0228069627389,0.000302
Oral & Nasal Care,1424411.9070000001,1204031.8014879995,220380.10551199995,17832.0,0.15471655665680975,0.14244119070000003,0.022038010551199996,0.0017832
Condensed Milk,2457392.163,2251284.04175,206108.12125,20955.0,0.08387270227084222,0.2457392163,0.020610812125,0.0020955
Snacks & Munchies,799511.3770000001,599240.389104,200270.987896,4330.0,0.250491729895671,0.07995113770000001,0.0200270987896,0.000433
Gourmet Bakery,894208.6639999998,699190.5003279999,195018.16367200005,9810.0,0.21809021934504552,0.08942086639999998,0.019501816367200005,0.000981
Feeding Accessories,847382.5989999998,652424.129773,194958.46922699997,4703.0,0.23007136263722122,0.08473825989999999,0.019495846922699997,0.0004703
Syrups,3965112.3480000007,3771067.0840119994,194045.263988,27176.0,0.04893815028617695,0.39651123480000006,0.0194045263988,0.0027176
Asian Sauces,1152518.9930000002,969867.3503,182651.64270000003,16835.0,0.15848037542926635,0.11525189930000003,0.018265164270000002,0.0016835
Baby Pharma,965406.106,784993.1328339999,180412.9731660001,6436.0,0.18687780411241783,0.0965406106,0.01804129731660001,0.0006436
Cough & Cold,1361665.7330000002,1181443.2497959996,180222.4832040001,27423.0,0.13235442358304544,0.13616657330000004,0.01802224832040001,0.0027423
Fish & Seafood,929560.434,753396.4858810002,176163.94811900004,4889.0,0.18951317383523666,0.09295604340000001,0.017616394811900003,0.0004889
Dairy Products,935100.8589999999,763822.803813,171278.05518699996,7992.0,0.1831653276098637,0.0935100859,0.017127805518699996,0.0007992
Soup,1493486.0420000001,1340442.876231,153043.165769,34455.0,0.10247378379516184,0.1493486042,0.015304316576900002,0.0034455
Noodles,69258487.69999999,69115056.13052697,143431.56947300007,842340.0,0.0020709601701713173,6.925848769999999,0.014343156947300007,0.084234
Beverages,532917.228,402382.6976810001,130534.530319,8226.0,0.24494334853629465,0.0532917228,0.0130534530319,0.0008226
Appliances,689138.0129999998,559592.6277599998,129545.38523999996,1092.0,0.18798177258580567,0.06891380129999998,0.012954538523999996,0.0001092
Pharma Needs,890319.3600000001,765178.4754480004,125140.88455199996,10245.0,0.14055729907075135,0.089031936,0.012514088455199995,0.0010245
