brand_name,revenue,cost,profit,qty,profit_margin,revenue_crore,profit_crore,qty_crore
Lion,3682186.9530000007,3056016.9594900003,626169.9935100001,20386.0,0.1700538298306224,0.36821869530000007,0.062616999351,0.0020386
Emami Healthy & Tasty,7459487.0,6847287.611429999,612199.3885700001,41497.0,0.08206990488353959,0.7459487,0.06121993885700001,0.0041497
Popular Essentials,4092288.005,3480623.3053770014,611664.6996229999,14857.0,0.14946765693804093,0.4092288005,0.06116646996229999,0.0014857
Portronics,1872870.1169999999,1266605.9000330002,606264.216967,6642.0,0.3237086285183118,0.18728701169999998,0.0606264216967,0.0006642
Goclean,1511357.1679999996,914926.1554110001,596431.0125890002,9736.0,0.3946327348804424,0.15113571679999996,0.059643101258900016,0.0009736
Safal,6108492.047,5523715.8063900005,584776.2406100002,51583.0,0.09573168567800547,0.6108492047,0.05847762406100002,0.0051583
Mawana,6200694.835000001,5616149.030017999,584545.8049819999,40937.0,0.09427101648068766,0.6200694835000001,0.058454580498199994,0.0040937
Rin,7859854.931,7275645.480661001,584209.450339,98497.0,0.07432827392714635,0.7859854931,0.058420945033899996,0.0098497
Nutella,5194759.499999998,4611549.027919998,583210.47208,14035.0,0.11226900342162138,0.5194759499999998,0.058321047208,0.0014035
Conscious Food,3684683.1540000006,3102800.4400429986,581882.7139570005,19178.0,0.1579193351605614,0.3684683154000001,0.058188271395700056,0.0019178
Veet,3951746.5279999995,3370475.151273998,581271.3767260001,29676.0,0.1470922723933371,0.39517465279999997,0.05812713767260001,0.0029676
Brooke Bond Taj Mahal,10177331.463999998,9596843.452824002,580488.0111759999,53429.0,0.05703734944954329,1.0177331463999997,0.05804880111759999,0.0053429
Sundrop,8018488.710999997,7438674.313464995,579814.3975349999,29313.0,0.07230968558197176,0.8018488710999997,0.05798143975349999,0.0029313
Ezee,1249916.42,673880.5138239998,576035.9061760001,15703.0,0.4608595398530729,0.12499164199999999,0.057603590617600016,0.0015703
Dukes,2493113.745,1917617.5171320003,575496.227868,65262.0,0.2308343247564102,0.24931137450000002,0.0575496227868,0.0065262
Dukes Waffy,1987279.906,1415913.3700999997,571366.5359000001,33052.0,0.28751185687276815,0.1987279906,0.05713665359000002,0.0033052
Karachi Bakery,3173443.4400000004,2607058.7048400007,566384.7351599999,17394.0,0.17847639192838421,0.31734434400000006,0.056638473515999994,0.0017394
Lizol,15409730.608000001,14845686.567056995,564044.0409430002,71085.0,0.036603108470317794,1.5409730608,0.056404404094300024,0.0071085
Chuk,1437690.987,888870.9472470005,548820.0397529999,6457.0,0.3817371359461683,0.1437690987,0.05488200397529999,0.0006457
Mangaldeep,1928679.6099999999,1381758.662932,546920.9470680001,56233.0,0.2835727324705839,0.19286796099999998,0.05469209470680001,0.0056233
Lijjat,3529430.99,2987359.371515001,542071.6184850001,52443.0,0.153586121961546,0.35294309900000004,0.05420716184850001,0.0052443
Jaya,2511556.3600000003,1978511.923932,533044.4360679998,21962.0,0.21223670093869593,0.251155636,0.05330444360679998,0.0021962
Charlie's,1719502.062,1189708.2304550002,529793.8315450001,28744.0,0.3081088666615394,0.17195020619999998,0.05297938315450001,0.0028744
Tropicana,7147739.976000001,6626341.739569001,521398.23643099976,76473.0,0.07294588753671805,0.7147739976,0.05213982364309998,0.0076473
Act II,4591632.350999999,4084734.417686001,506897.9333139999,156944.0,0.1103960192291101,0.4591632350999999,0.05068979333139999,0.0156944
Tata Tea,43290549.41599999,42786916.41096599,503633.0050339999,228491.0,0.011633786399760022,4.329054941599999,0.05036330050339999,0.0228491
Again,1194710.781,695978.8673390001,498731.91366100014,9697.0,0.41744991473463583,0.1194710781,0.049873191366100016,0.0009697
Weikfield,2525811.289,2029766.1654089994,496045.1235909999,42927.0,0.19639041354803285,0.2525811289,0.04960451235909999,0.0042927
Feel Fresh,1165460.9849999999,673475.9299539999,491985.0550459999,12037.0,0.42213773037284463,0.11654609849999999,0.04919850550459999,0.0012037
Mr Muscle,3298270.9289999995,2823567.221759001,474703.70724099985,31439.0,0.14392501933882215,0.32982709289999995,0.047470370724099986,0.0031439
Table White,2543071.7810000004,2073266.2003580006,469805.5806420002,14313.0,0.18473941009138983,0.25430717810000003,0.04698055806420002,0.0014313
Amma's Special,2492633.515,2030712.7114869992,461920.80351299996,33646.0,0.18531436760891018,0.2492633515,0.0461920803513,0.0033646
Ferrero Rocher,3766129.9420000003,3305144.0223499993,460985.91965000005,13607.0,0.12240308400118395,0.37661299420000005,0.046098591965000005,0.0013607
Savlon,4350171.619000001,3892314.3703479995,457857.24865199986,30598.0,0.10525038751396437,0.4350171619000001,0.04578572486519999,0.0030598
Tong Garden,2301135.802,1854908.0750110005,446227.72698899993,11393.0,0.19391629411926375,0.2301135802,0.04462277269889999,0.0011393
Gillette,7986755.596,7541530.420931002,445225.175069,45442.0,0.055745436268512055,0.7986755596,0.0445225175069,0.0045442
Duracell,3340219.4660000005,2897009.5774670006,443209.88853300025,23942.0,0.13268885264708538,0.33402194660000006,0.044320988853300027,0.0023942
Slurrp Farm,2399104.6720000003,1963279.2062429998,435825.46575700026,23080.0,0.1816617135732043,0.23991046720000003,0.04358254657570003,0.002308
Nestle NAN PRO,3973818.102,3539295.0899799997,434523.0120200001,5930.0,0.10934647758570205,0.3973818102,0.043452301202000006,0.000593
Satvikk,2024868.4999999998,1593837.4650569991,431031.03494300024,12025.0,0.21286865539317754,0.20248684999999997,0.04310310349430002,0.0012025
Bauli,4007966.888,3579487.1747349994,428479.71326499985,153929.0,0.10690699929380251,0.40079668879999997,0.042847971326499985,0.0153929
