brand_name,revenue,total_qty,profit,profit_margin
Santoor,2740566.0039999997,15317.0,70282.34935600002,0.025645194917188363
Vega,2736408.357,18238.0,780256.2562040001,0.2851388222843379
Britannia Milk Bikis,2736343.6550000003,48155.0,159410.259239,0.05825666631737452
Nycil,2733641.431,21632.0,-122575.59151899998,-0.04483967433657175
Vanish,2715579.325,17087.0,133606.38202299995,0.049199955528089735
Bhagyalakshmi Premium,2712422.3830000004,50555.0,792567.8443179997,0.2921992715018823
Delfrez,2700453.59,41929.0,634798.2022819999,0.23507095423995045
Lotte,2684642.9529999997,23983.0,285308.91776500014,0.10627443677237483
Farmland,2643578.159,17984.0,777409.5471450002,0.29407473522139965
Snickers,2615220.3340000003,27831.0,139155.19594499996,0.05320974073804366
Medimix,2604161.789,15326.0,303854.87315600005,0.11668048983726181
EverFresh,2586590.727,12878.0,1021201.6191010004,0.3948060311363671
The Whole Truth,2576927.3770000003,22839.0,360797.05329999985,0.140010563169239
Peppy,2564669.587,45912.0,816400.537756,0.31832581549461014
Liberty,2557488.0,10346.0,96087.02371000008,0.03757086004313611
Table White,2543071.7810000004,14313.0,469805.5806420002,0.18473941009138983
Biotique,2539010.8559999997,18433.0,149928.24544499998,0.05904986388329172
Weikfield,2525811.289,42927.0,496045.1235909999,0.19639041354803285
Mother's Recipe,2514494.4450000003,33376.0,305071.87914499996,0.12132533430393
Jaya,2511556.3600000003,21962.0,533044.4360679998,0.21223670093869593
True Elements,2506829.519,10083.0,54215.03104300001,0.021626931800542603
Dukes,2493113.745,65262.0,575496.227868,0.2308343247564102
Amma's Special,2492633.515,33646.0,461920.80351299996,0.18531436760891018
Pepsodent,2488564.23,21345.0,-192042.95952099995,-0.07717018399842546
Godrej Ezee,2476818.261,11428.0,-121811.95147100001,-0.049180819355643474
Pantene,2469036.8039999995,7515.0,-1013802.7266900002,-0.41060656732519096
Yardley,2459187.7649999997,11730.0,249474.99943000005,0.1014460965448078
Palmolive,2441387.998,8595.0,-519507.8786490001,-0.21279201793184208
Parry's,2433859.7020000005,34280.0,282390.91733900004,0.11602596366049697
Sunfeast Farmlite,2413618.787,32881.0,59204.250046,0.024529246443092092
CoviSelf,2406670.4680000003,10378.0,241656.0814500001,0.1004109555766569
Slurrp Farm,2399104.6720000003,23080.0,435825.46575700026,0.1816617135732043
McVitie's,2398082.5760000004,27492.0,227894.22064900008,0.09503184874856455
Picfest,2369170.2079999996,11384.0,903382.0970229998,0.38130738516487367
Sunfeast Mom's Magic,2363332.284999999,37860.0,245269.12562300003,0.10378105828778965
Oral-B,2347396.404,24533.0,168471.12163499996,0.07176935320677945
Alpino,2343964.2199999997,9000.0,326364.63837,0.1392361861095303
TGFC,2342564.217,13509.0,395165.815173,0.16868942687046942
Liril,2320882.852,10383.0,-766414.6284100001,-0.33022546904922373
Delichic,2304847.136,11390.0,296706.8520450001,0.12873168350762162
Tong Garden,2301135.802,11393.0,446227.72698899993,0.19391629411926375
Anandam,2295275.164,12854.0,343836.24770000007,0.14980175496727507
Vadilal,2277196.5279999995,15474.0,673744.4948639999,0.29586576590107994
Mr. White,2251404.3279999997,5972.0,-83767.54977000004,-0.03720679965309192
Akshayakalpa,2248739.698,25915.0,333189.249888,0.1481671045271866
Nestle Lactogen,2240739.179,6263.0,251662.95648999998,0.11231247208446297
Top Ramen,2236200.6739999996,32827.0,65992.80081199999,0.029511126429434213
Purenut,2231905.565,12500.0,192239.83946000002,0.08613260456653775
Tetley,2204006.416,12659.0,-171852.83187699996,-0.07797292722445502
O'range,2190978.683,29556.0,663981.9061730003,0.30305265465378345
Dabur Red,2174941.7700000005,15871.0,-319782.2540800001,-0.14703026006990524
Everyuth,2160071.656,18818.0,-223888.555372,-0.10364867051984501
Fackelmann,2097866.0200000005,14326.0,375224.01382600004,0.17885985580051483
Navratna,2080823.7699999998,10977.0,106230.79258799998,0.05105227752564553
Open Secret,2062247.056,26684.0,53220.422098999996,0.025807005976397426
Orion,2048801.9130000002,42462.0,104415.479174,0.050964165208684076
Gemini,2035798.0,10075.0,65235.841901999986,0.03204435896979955
Satvikk,2024868.4999999998,12025.0,431031.03494300024,0.21286865539317754
Bajaj,2021503.9300000002,13382.0,-3406.9487069999814,-0.00168535349174413
Wipro Safewash,2013094.21,7230.0,192128.87647000005,0.09543958524921695
Origami Klassic,2007451.8439999998,29113.0,769087.4577290005,0.3831162675347347
Chemi Eco Kleen,1995259.588,12300.0,866274.7058779994,0.4341664167850622
Lifebuoy Total 10,1993166.738,11739.0,-61955.18404100003,-0.031083793874248384
Dukes Waffy,1987279.906,33052.0,571366.5359000001,0.28751185687276815
Protinex,1975269.475,3547.0,155665.86534999998,0.07880740694886705
Kellogg's Chocos,1952592.7970000003,30182.0,148229.91901500008,0.07591440429501906
Piknik,1930252.7159999993,37025.0,673842.7035589998,0.34909558627918025
Mangaldeep,1928679.6099999999,56233.0,546920.9470680001,0.2835727324705839
Listerine,1922240.694,12819.0,399780.027682,0.2079760505174281
Aravi,1914599.3789999997,15066.0,853364.0885279996,0.44571417806147723
Mirinda,1905158.5040000002,41707.0,25985.220840999988,0.013639401019097561
Complan,1905106.76,5899.0,-114300.94395199994,-0.0599971331538396
Too Yumm,1895530.9210000003,62534.0,-66076.65611099992,-0.03485918134014966
Vaseline,1875628.324,7366.0,-130219.90292499997,-0.06942734936274078
Portronics,1872870.1169999999,6642.0,606264.216967,0.3237086285183118
Parachute Advansed,1868866.8120000002,11853.0,51505.936686999994,0.02755998252859979
Parle Krackjack,1861706.1820000003,34412.0,123336.077516,0.06624894879142641
Britannia Nice Time,1859809.1400000001,68180.0,129840.91224000005,0.0698141058926079
Huggies,1857994.783,4827.0,-26681.77224,-0.01436052053758646
Cothas,1851984.09,15219.0,176223.50890099996,0.09515389999975646
L'Oreal Paris Casting Creme Gloss,1848493.584,3417.0,163717.55983999997,0.08856809742651504
The Natural,1837287.937,12242.0,354477.07312999986,0.192934959181632
Meatigo,1830054.843,8511.0,191453.58873000005,0.10461631216261863
Storia,1812818.9570000004,16230.0,267960.937377,0.1478145053273513
Knorr,1805632.0479999997,36293.0,83980.40416499999,0.046510253436197316
MTR 3 Minute,1790127.4879999997,62779.0,-96066.91883200004,-0.05366484760218377
Niine,1768876.6929999997,29841.0,139353.69300000003,0.07878089725047897
Fanta,1755795.736,35985.0,214897.64745999998,0.12239330752082427
Tops Gold,1750193.384,13022.0,384870.04201800015,0.21990143805617318
Garnier Color Naturals,1723659.6360000002,9650.0,148937.03666999988,0.0864074516565403
Charlie's,1719502.062,28744.0,529793.8315450001,0.3081088666615394
Cadbury Bournville,1695838.3110000002,16891.0,116182.375359,0.06851029051849271
Boroplus,1683991.064,13822.0,-320275.1443510002,-0.1901881495678769
Cadbury 5 Star,1682927.3149999997,21057.0,136816.78951,0.08129690943307319
Hudson,1680293.0,2747.0,217562.89983000007,0.12947914430995075
Real Thai,1674164.0489999999,10643.0,408690.17668399995,0.24411596756489662
Clean & Clear,1668564.4710000004,9921.0,117143.14418699995,0.07020594422509427
Kesh King,1656883.915,7905.0,-654211.6055640001,-0.39484456312318056
Nutralite,1644623.0619999997,13278.0,-30005.584990000003,-0.01824465780840425
Nestle NAN EXCELLAPRO,1643571.255,2143.0,184767.03232,0.11241802371385475
Walton,1636436.0330000003,7048.0,657827.717008,0.40198804214915496
Sunfeast Marie Light,1627368.3460000004,22539.0,139592.69538399996,0.08577818029158098
Little's,1613221.201,11081.0,270338.14942599996,0.16757661581587407
Ratan Brooms,1610797.626,13977.0,834208.708156,0.5178854839931333
London Dairy,1602835.4249999998,5768.0,316631.356087,0.19754452088367092
Sting,1597601.525,66467.0,210026.41777900004,0.13146358118242285
Hershey's Kisses,1592059.2090000003,28668.0,47919.74508599999,0.030099222952957385
Sleepy Owl,1579974.6349999998,13645.0,-306431.844043,-0.19394731868148002
Licious,1559298.401,8100.0,263143.047814,0.1687573383293683
So-Lite,1545173.9419999998,32522.0,229662.99341400014,0.14863245306656883
KLF,1545053.434,7628.0,153974.08261900014,0.09965615378128091
Sunfeast Bounce,1544417.544,102069.0,149775.15636099994,0.09697840907264385
Plum,1539447.7299999997,14935.0,95698.7585,0.062164344157368705
Aptamil,1522029.352,2067.0,196721.32860999997,0.12924936588870722
Goclean,1511357.1679999996,9736.0,596431.0125890002,0.3946327348804424
Eno,1505648.129,14692.0,99424.33630999998,0.06603424425335967
Moov,1496869.341,7629.0,149909.58850899996,0.10014874672284436
